,ID,doc,Тип документу,Зразок,Замовник,Виробник,Густина кг/м3,ОЧД,ОЧМ,Фракція_70,Фракція_100,Фракція_150,10%,50%,90%,Кінець кипіння,Залишок після випаровування,ДНП,Індукційний період,Фактичні смоли,Сірка,Олефінові вуглеводні,Ароматичні вуглеводні,Бензол,Кисневмісні: метанол,Кисневмісні: етанол,Кисневмісні: ізопропіловий спирт,Кисневмісні: ізобутиловий спирт,Кисневмісні: третбутиловий, Кисневмісні: етери
104,1102/19,D:\Margo\python\protocols\Protocol_37.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1085/19КР; резервуари: В\Ц №74735820, 73996100, 74928177, 73745341,74751752","753,2","81,4","77,6",na,na,na,"67,0","105,0","155,0","197,0","1,0","47,1",,"1,0","4,7","1,572","34,9","0,975",відсутність,na,відсутність,відсутність,відсутність,відсутність
105,1120/19,D:\Margo\python\protocols\Protocol_38.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1120/19КР; резервуари: В\Ц №74742552, 72821846, 74735705,74925926, 74126889","746,8","82,7","78,2",na,na,na,"63,0","100,0","150,0","192,0","1,1","50,0",,"1,0","4,7","1,44","33,2","0,890",відсутність,na,відсутність,відсутність,відсутність,відсутність
106,1121/19,D:\Margo\python\protocols\Protocol_39.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1121/19КР; резервуари: В\Ц №74127986, 73949257, 73948655,74209453, 73992364, 72869209 кількість:451,980м³Акт відбору проби № 25.08.2019 від  “25”серпня 2019р. ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.Дата проведення лабораторних випробувань: “26-27” серпня 2019р","748,2","81,0","77,0",na,na,na,"64,0","101,0","153,0","195,0","1,1","51,0",,"1,0","5,9","1,571","34,1","0,864",відсутність,na,відсутність,відсутність,відсутність,відсутність
107,1063/19,D:\Margo\python\protocols\Protocol_4.docx,ПАСПОРТ,бензин автомобільний довготривалого зберігання А-80-ДЗ,-1,"постачальник: ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5","751,6","83,7","79,0",na,na,na,"65,5","102,0","154,0","193,5","1,0","49,0",,"1,0","3,9","1,633","34,1","0,953",відсутність,na,відсутність,відсутність,відсутність,відсутність
108,1123/19,D:\Margo\python\protocols\Protocol_40.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1123/19КР; резервуари: В\Ц №74735705, 73725988,74126889,74742552, 72821846,74738519","748,7","82,8","78,2",na,na,na,"65,5","100,0","150,0","192,0","1,1","47,6",,"1,0","4,3","1,453","34,0","0,878",відсутність,na,відсутність,відсутність,відсутність,відсутність
109,1191/19,D:\Margo\python\protocols\Protocol_41.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1191/19КР; резервуари: В\Ц №72824238, 74246760, 74735242, 74946716, 73934127","749,0","82,2","78,0",na,na,na,"67,5","103,0","154,0","195,5","1,0","50,6",,"1,0","8,4","1,664","32,9","0,791",відсутність,na,відсутність,відсутність,відсутність,відсутність
110,1208/19,D:\Margo\python\protocols\Protocol_42.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1208/19КР; резервуари: В\Ц №73922064, 74246330, 73719825, 72883325, 73949869","747,5","83,1","78,8",na,na,na,"64,5","102,5","154,5","193,0","1,0","47,1",,"1,0","5,4","1,51","33,1","0,846",відсутність,na,відсутність,відсутність,відсутність,відсутність
111,1209/19,D:\Margo\python\protocols\Protocol_43.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1209/19КР; резервуари: В\Ц №73950321, 74734682, 75079236, 73950859","747,8","83,1","78,7",na,na,na,"63,0","100,0","152,0","193,5","1,1","47,6",,"1,0","7,1","1,60","33,0","0,667",відсутність,na,відсутність,відсутність,відсутність,відсутність
112,1236/19,D:\Margo\python\protocols\Protocol_44.docx,ПАСПОРТ,-1,-1,"інформація відсутня;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1236/19КР; резервуари: В\Ц №74127861, 72322852, 77215481, 72870157","746,2","83,2","78,1",na,na,na,"62,5","100,0","151,0","196,5","1,0","49,5",,"1,0","4,7","1,92","33,1","0,690",відсутність,na,відсутність,відсутність,відсутність,відсутність
113,1317/19,D:\Margo\python\protocols\Protocol_45.docx,ПАСПОРТ,-1,-1,"вересень 2019;  Сертифікат відповідності: інформація відсутня;Виробник: (постачальник): ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5. Нафтобаза: інформація відсутня.Проба №1317/19КР; резервуар №4","748,9","86,0","79,9",na,na,na,"60,5","102,5","147,5","187,0","1,0","56,7",,"1,0","9,8","1,987","34,5","0,941",відсутність,na,відсутність,відсутність,відсутність,відсутність
114,1634/19,D:\Margo\python\protocols\Protocol_46.docx,ПАСПОРТ,-1,"Комунальне підприємство «Маріупольське трамвайно-тролейбусне управління», вул. Миколаївська, 92, м. Маріуполь, 87500.Виробник (постачальник): ПАТ «Укртатнафта»;","Комунальне підприємство «Маріупольське трамвайно-тролейбусне управління», вул. Миколаївська, 92, м. Маріуполь, 87500.Виробник (постачальник): ПАТ «Укртатнафта»;","741,1","92,2","84,1","34,0","57,5","85,5",na,na,na,"194,5","0,9","65,8",Детонаційна стійкість:,1,"7,3","3,925","29,428","0,634","<0,17",na,"<0,17","<0,17","<0,17","12,3"
115,779/19,D:\Margo\python\protocols\Protocol_47.docx,ПАСПОРТ,Бензин  автомобільний А-95-Євро 5-Е5,Комунальне підприємство «Маріупольське виробниче управління водопровідно-каналізаційного господарства»,ПАТ «Укртатнафта»,"757,1","95,0","85,7","23,5","85,0","94,0",na,na,na,"183,8","0,6","46,0",>360,1,"34,7","0,729","7,0","0,886","0,3",na,"<0,17","9,9","<0,17","4,8"
116,1012/19,D:\Margo\python\protocols\Protocol_48.docx,ПРОТОКОЛ,бензин автомобільний довготривалого зберігання А-80-Д,"(ТОВ «Ферст Груп», 49000, Дніпропетровська область, м. Дніпро, вул. Троїцька, буд. 15/3, оф. 2, код ЄДРПОУ 41701663.","ТОВ «Ферст Груп», м. Кам’янське, Західний проїзд, 5.","748,4","84,0","78,9",na,na,na,"64,5","101,0","154,0","193,0","0,9","47,9",,1,"3,2","1,976","33,5","0,969","(< 0,17(відсутність)","< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)","(< 0,17(відсутність)"
